Team,Name,Position,ETR Rank,ADP,ADP Differential,Week_17,Week_16,Week_15,Division
IND,Adonai Mitchell,WR,160,126.9,-33.1,NYG,TEN,DEN,AFC SOUTH
PIT,Roman Wilson,WR,161,169.7,8.7,KC,BAL,PHI,AFC NORTH
CIN,Jermaine Burton,WR,162,162.1,0.1,DEN,CLE,TEN,AFC NORTH
ATL,Tyler Allgeier,RB,163,166.5,3.5,WAS,NYG,LV,NFC SOUTH
MIN,T.J. Hockenson,TE,164,123.7,-40.3,GB,SEA,CHI,NFC NORTH
SF,Ricky Pearsall,WR,165,162.6,-2.4,DET,MIA,LAR,NFC WEST
BAL,Rashod Bateman,WR,166,182.2,16.2,HOU,PIT,NYG,AFC NORTH
LAC,Quentin Johnston,WR,167,143.8,-23.2,NE,DEN,TB,AFC WEST
SEA,Noah Fant,TE,168,204.9,36.9,CHI,MIN,GB,NFC WEST
GB,Luke Musgrave,TE,169,153.0,-16.0,MIN,NO,SEA,NFC NORTH
NE,Hunter Henry,TE,170,171.6,1.6,LAC,BUF,ARI,AFC EAST
MIA,Jaylen Wright,RB,171,150.0,-21.0,CLE,SF,HOU,AFC EAST
ARI,Michael Wilson,WR,172,179.8,7.8,LAR,CAR,NE,NFC WEST
BUF,Ray Davis,RB,173,159.1,-13.9,NYJ,NE,DET,AFC EAST
TEN,Chigoziem Okonkwo,TE,174,196.1,22.1,JAX,IND,CIN,AFC SOUTH
NE,Demario Douglas,WR,175,196.9,21.9,LAC,BUF,ARI,AFC EAST
DEN,Marvin Mims,WR,176,187.1,11.1,CIN,LAC,IND,AFC WEST
TB,Bucky Irving,RB,177,177.1,0.1,CAR,DAL,LAC,NFC SOUTH
NYG,Darius Slayton,WR,178,217.5,39.5,IND,ATL,BAL,NFC EAST
NE,Drake Maye,QB,179,195.7,16.7,LAC,BUF,ARI,AFC EAST
LAC,Kimani Vidal,RB,180,171.0,-9.0,NE,DEN,TB,AFC WEST
TB,Jalen McMillan,WR,181,208.9,27.9,CAR,DAL,LAC,NFC SOUTH
WAS,Luke McCaffrey,WR,182,182.0,0.0,ATL,PHI,NO,NFC EAST
TB,Cade Otton,TE,183,160.3,-22.7,CAR,DAL,LAC,NFC SOUTH
LAR,Demarcus Robinson,WR,184,198.3,14.3,ARI,NYJ,SF,NFC WEST
NYG,Jalin Hyatt,WR,185,215.1,30.1,IND,ATL,BAL,NFC EAST
DEN,Jaleel McLaughlin,RB,186,193.0,7.0,CIN,LAC,IND,AFC WEST
NE,Kendrick Bourne,WR,187,222.2,35.2,LAC,BUF,ARI,AFC EAST
WAS,Ben Sinnott,TE,188,151.6,-36.4,ATL,PHI,NO,NFC EAST
ATL,Rondale Moore,WR,189,223.1,34.1,WAS,NYG,LV,NFC SOUTH
ARI,Zay Jones,WR,190,188.4,-1.6,LAR,CAR,NE,NFC WEST
TEN,Will Levis,QB,191,171.5,-19.5,JAX,IND,CIN,AFC SOUTH
CLE,Elijah Moore,WR,192,220.2,28.2,MIA,CIN,KC,AFC NORTH
NYJ,Tyler Conklin,TE,193,184.8,-8.2,BUF,LAR,JAX,AFC EAST
GB,Tucker Kraft,TE,194,222.2,28.2,MIN,NO,SEA,NFC NORTH
DAL,Jalen Tolbert,WR,195,211.3,16.3,PHI,TB,CAR,NFC EAST
MIA,Odell Beckham Jr.,WR,196,205.4,9.4,CLE,SF,HOU,AFC EAST
NE,Javon Baker,WR,197,204.0,7.0,LAC,BUF,ARI,AFC EAST
CAR,Chuba Hubbard,RB,198,164.1,-33.9,TB,ARI,DAL,NFC SOUTH
